,Titles,urls,Ratings,Ratings_counts,Prices,Discount_prct,Qty_sold_last_month_,Series,Colour,Form Factor,Standing screen display size,Screen Resolution,Resolution,Batteries,Item model number,Processor Brand,Processor Type,Processor Speed,Processor Count,Memory Technology,Computer Memory Type,Maximum Memory Supported,Hard Drive Size,Hard Disk Description,Speaker Description,Graphics Coprocessor,Graphics Chipset Brand,Graphics Card Description,Graphics RAM Type,Graphics Card Interface,Connectivity Type,Wireless Type,Number of HDMI Ports,Optical Drive Type,Operating System,Are Batteries Included,Lithium Battery Energy Content,Number of Lithium Ion Cells,Included Components,Item Weight,Prices_Category,Processor Speed_Base
0,Lenovo|IdeaPad Slim 3|14IRH10|Core i5 Family||512 GB|SSD14 Inches,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTA3NDE2OTc1OTAwOTgzOjE3NjgwODIwNTA6c3BfYXRmOjMwMDg5NTQxMDExNDUzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-13420H-Keyboard-83K00034IN%2Fdp%2FB0FCY79NDV%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9.w_frBbwHmYyVG7A2pLpPy1FBo5L0lz2kfBACozkuTBHo8KubMllsBOwBZyWaYb2DvcnauK0pRLmyniIZxkawBLT_snJ0CQLgpoBzHOwi1svQwwEktHj0okI-FQw5rCy_k6zYFJSXqd5QMTbFvPW0C1QnkI9rrOsjY4dzUJMdo9iGaLz1X9URp-x_Yu_OXYTfxjRoHZCVJj3z9xSR75TpoNAVj-3IXIpX2QYBK1EN0p8._0t2HdEDUYZ9uNBd7b0hZxSbxaZ8izII8GEdpw_mijw%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082050%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-1-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DKVlowxUplg%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=KVlowxUplg&sp_cr=ZAZ,4.1,410,60600,27,50,IdeaPad Slim 3,Luna Grey,Thin & Light,14 Inches,1920 x 1200 pixels,1080 Pixels,1 D batteries required. (included),14IRH10,Intel,Core i5 Family,2.1,8.0,DDR5,DDR5 RAM,24 GB,512 GB,SSD,"User-facing stereo speakers, 2W x2, optimized with Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,50 Watt Hours,4.0,Laptop,1 kg 390 g,High,2.1
1,Lenovo|IdeaPad Slim 3|15IAH8|Core i5||512 GB|SSD15.6 Inches,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTA3NDE2OTc1OTAwOTgzOjE3NjgwODIwNTA6c3BfYXRmOjMwMDg5NTMyMzM4MzAzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Windows-83ER00MCIN%2Fdp%2FB0FJF95B56%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9.w_frBbwHmYyVG7A2pLpPy1FBo5L0lz2kfBACozkuTBHo8KubMllsBOwBZyWaYb2DvcnauK0pRLmyniIZxkawBLT_snJ0CQLgpoBzHOwi1svQwwEktHj0okI-FQw5rCy_k6zYFJSXqd5QMTbFvPW0C1QnkI9rrOsjY4dzUJMdo9iGaLz1X9URp-x_Yu_OXYTfxjRoHZCVJj3z9xSR75TpoNAVj-3IXIpX2QYBK1EN0p8._0t2HdEDUYZ9uNBd7b0hZxSbxaZ8izII8GEdpw_mijw%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082050%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-2-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DwXafbUnlRy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=wXafbUnlRy&sp_cr=ZAZ,4.6,7,50690,34,50,IdeaPad Slim 3,Arctic Grey,Thin & Light,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 D batteries required. (included),15IAH8,Intel,Core i5,2,8.0,DDR5,DDR4 SDRAM,16 GB,512 GB,SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1.0,No Optical Drive,"Windows 11 Home 64, English",Yes,47 Watt Hours,3.0,"Laptop, Power Adapter, User Manual",1 kg 620 g,Medium,2.0
2,Lenovo|IdeaPad 1 15ALC7|82R400BGIN|Ryzen 5|8 GB|512 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-IdeaPad-Laptop-Windows-82R400BRIN/dp/B0CWRQV69R/ref=sr_1_4?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.w_frBbwHmYyVG7A2pLpPy1FBo5L0lz2kfBACozkuTBHo8KubMllsBOwBZyWaYb2DvcnauK0pRLmyniIZxkawBLT_snJ0CQLgpoBzHOwi1svQwwEktHj0okI-FQw5rCy_k6zYFJSXqd5QMTbFvPW0C1QnkI9rrOsjY4dzUJMdo9iGaLz1X9URp-x_Yu_OXYTfxjRoHZCVJj3z9xSR75TpoNAVj-3IXIpX2QYBK1EN0p8._0t2HdEDUYZ9uNBd7b0hZxSbxaZ8izII8GEdpw_mijw&dib_tag=se&keywords=lenovo+laptops&qid=1768082050&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-4&xpid=IzsIf9sZEUUR3,4.0,2498,34849,26,100,IdeaPad 1 15ALC7,Cloud Grey,Ultra-Portable,15.6 Inches,1920 ×1080 pixels,1920 x 1080 Pixels,1 Lithium Polymer batteries required. (included),82R400BGIN,AMD,Ryzen 5,2.1,6.0,DDR4,DDR5 RAM,16 GB,512 GB,SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Integrated AMD Radeon Graphics,AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1.0,No Optical Drive,Windows 11 Home,Yes,42 Watt Hours,3.0,"Laptop,User Manual,Power Adapter",1 kg 610 g,Low,2.1
3,Lenovo|Lenovo V15|I3-1315U|Core i3||512 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-Windows-1920x1080-Antiglare-83CCA08KIN/dp/B0FNS215RC/ref=sr_1_5?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.w_frBbwHmYyVG7A2pLpPy1FBo5L0lz2kfBACozkuTBHo8KubMllsBOwBZyWaYb2DvcnauK0pRLmyniIZxkawBLT_snJ0CQLgpoBzHOwi1svQwwEktHj0okI-FQw5rCy_k6zYFJSXqd5QMTbFvPW0C1QnkI9rrOsjY4dzUJMdo9iGaLz1X9URp-x_Yu_OXYTfxjRoHZCVJj3z9xSR75TpoNAVj-3IXIpX2QYBK1EN0p8._0t2HdEDUYZ9uNBd7b0hZxSbxaZ8izII8GEdpw_mijw&dib_tag=se&keywords=lenovo+laptops&qid=1768082050&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-5&xpid=IzsIf9sZEUUR3,4.0,75,39990,44,0,Lenovo V15,Iron Grey,Clamshell,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 AAA batteries required. (included),I3-1315U,Intel,Core i3,1.2,1.0,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,Stereo Speakers,,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,38 Watt Hours,2.0,"Laptop, User manual, Adapter",1 kg 650 g,Low,1.2
4,Lenovo|Lenovo V14|83A0A0PBIN|Core i3||512 GB|SSD14 Inches,https://www.amazon.in/Lenovo-1920x1080-Antiglare-Windows-83A0A0PBIN/dp/B0FNRFBHJF/ref=sr_1_6?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.w_frBbwHmYyVG7A2pLpPy1FBo5L0lz2kfBACozkuTBHo8KubMllsBOwBZyWaYb2DvcnauK0pRLmyniIZxkawBLT_snJ0CQLgpoBzHOwi1svQwwEktHj0okI-FQw5rCy_k6zYFJSXqd5QMTbFvPW0C1QnkI9rrOsjY4dzUJMdo9iGaLz1X9URp-x_Yu_OXYTfxjRoHZCVJj3z9xSR75TpoNAVj-3IXIpX2QYBK1EN0p8._0t2HdEDUYZ9uNBd7b0hZxSbxaZ8izII8GEdpw_mijw&dib_tag=se&keywords=lenovo+laptops&qid=1768082050&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-6&xpid=IzsIf9sZEUUR3,3.8,59,36990,46,100,Lenovo V14,Iron Grey,Clamshell,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 AAA batteries required. (included),83A0A0PBIN,Intel,Core i3,1.2,1.0,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,Stereo Speakers,,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi","802.11ax, Bluetooth",1.0,No Optical Drive,Windows 11 Home,Yes,38 Watt Hours,2.0,"Laptop, User manual, Adapter",1 kg 430 g,Low,1.2
5,Lenovo|Lenovo V15|83CQA00WIN|Ryzen 5||512 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_7?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.w_frBbwHmYyVG7A2pLpPy1FBo5L0lz2kfBACozkuTBHo8KubMllsBOwBZyWaYb2DvcnauK0pRLmyniIZxkawBLT_snJ0CQLgpoBzHOwi1svQwwEktHj0okI-FQw5rCy_k6zYFJSXqd5QMTbFvPW0C1QnkI9rrOsjY4dzUJMdo9iGaLz1X9URp-x_Yu_OXYTfxjRoHZCVJj3z9xSR75TpoNAVj-3IXIpX2QYBK1EN0p8._0t2HdEDUYZ9uNBd7b0hZxSbxaZ8izII8GEdpw_mijw&dib_tag=se&keywords=lenovo+laptops&qid=1768082050&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-7&xpid=IzsIf9sZEUUR3,4.0,321,39150,35,400,Lenovo V15,Gray,Laptop,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 Lithium Ion batteries required. (included),83CQA00WIN,AMD,Ryzen 5,,1.0,SO-DIMM,DDR5 RAM,16 GB,512 GB,SSD,Dolby Sound 2.0,Integrated AMD Radeon™ 610M Graphics,AMD,Integrated,DDR5 SDRAM,Integrated,"Standard Ports 2x USB 3.2 Gen 1 1x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery (20V only) and DisplayPort™ 1.2) 1x HDMI® 1.4b 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector, WLAN + Bluetooth Wi-Fi® 6, 802.11ax 2x2 + BT5.2",Bluetooth,1.0,,Windows 11,Yes,1 Watt Hours,1.0,"Adaptor, Laptop, Power chord",,Low,-1.0
6,Lenovo|Lenovo 14|Lenovo 14|Core i5||512 GB|SSD14 Inches,https://www.amazon.in/Lenovo-14-Intel-Core-13420H/dp/B0FRYM3BWS/ref=sr_1_9?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.w_frBbwHmYyVG7A2pLpPy1FBo5L0lz2kfBACozkuTBHo8KubMllsBOwBZyWaYb2DvcnauK0pRLmyniIZxkawBLT_snJ0CQLgpoBzHOwi1svQwwEktHj0okI-FQw5rCy_k6zYFJSXqd5QMTbFvPW0C1QnkI9rrOsjY4dzUJMdo9iGaLz1X9URp-x_Yu_OXYTfxjRoHZCVJj3z9xSR75TpoNAVj-3IXIpX2QYBK1EN0p8._0t2HdEDUYZ9uNBd7b0hZxSbxaZ8izII8GEdpw_mijw&dib_tag=se&keywords=lenovo+laptops&qid=1768082050&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-9&xpid=IzsIf9sZEUUR3,5.0,1,52990,24,50,Lenovo 14,Iron Grey,Laptop,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 Nonstandard Battery batteries required.,Lenovo 14,Intel,Core i5,4.6,8.0,DDR4,DDR4 SDRAM,32 GB,512 GB,SSD,Built in Dual Speakers,Intel UHD Graphics,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi","802.11ax, Bluetooth",1.0,,Windows 11 Pro,,38 Watt Hours,2.0,"LAPTOP, POWER ADAPTER, USER GUIDE",1 kg 500 g,Medium,4.6
7,Lenovo|ThinkBook 16|21MWA0AUIN|Ryzen 7||512 GB|SSD16 Inches,https://www.amazon.in/Lenovo-ThinkBook-21MWA0AUIN-Fingerprint-Aluminium/dp/B0FD8TSZQC/ref=sr_1_10?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.w_frBbwHmYyVG7A2pLpPy1FBo5L0lz2kfBACozkuTBHo8KubMllsBOwBZyWaYb2DvcnauK0pRLmyniIZxkawBLT_snJ0CQLgpoBzHOwi1svQwwEktHj0okI-FQw5rCy_k6zYFJSXqd5QMTbFvPW0C1QnkI9rrOsjY4dzUJMdo9iGaLz1X9URp-x_Yu_OXYTfxjRoHZCVJj3z9xSR75TpoNAVj-3IXIpX2QYBK1EN0p8._0t2HdEDUYZ9uNBd7b0hZxSbxaZ8izII8GEdpw_mijw&dib_tag=se&keywords=lenovo+laptops&qid=1768082050&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-10&xpid=IzsIf9sZEUUR3,3.6,82,52990,43,200,ThinkBook 16,R7 7735HS,Clamshell,16 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1 AAA batteries required. (included),21MWA0AUIN,AMD,Ryzen 7,3.2,1.0,DDR5,DDR5 RAM,64 GB,512 GB,SSD,Stereo Speakers,,AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1.0,No Optical Drive,Windows 11 Home,Yes,45 Watt Hours,3.0,"Laptop, User manual, Adapter",1 kg 700 g,Medium,3.2
8,Lenovo|IdeaPad Slim 3|15IRH10R|Intel Core 5||512 GB|SSD15.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTA3NDE2OTc1OTAwOTgzOjE3NjgwODIwNTA6c3BfbXRmOjMwMDg5NTMyNTM2NjEzMjo6MDo6&url=%2FLenovo-IdeaPad-Windows-Keyboard-83K4004UIN%2Fdp%2FB0FCY6BX2S%2Fref%3Dsr_1_11_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9.w_frBbwHmYyVG7A2pLpPy1FBo5L0lz2kfBACozkuTBHo8KubMllsBOwBZyWaYb2DvcnauK0pRLmyniIZxkawBLT_snJ0CQLgpoBzHOwi1svQwwEktHj0okI-FQw5rCy_k6zYFJSXqd5QMTbFvPW0C1QnkI9rrOsjY4dzUJMdo9iGaLz1X9URp-x_Yu_OXYTfxjRoHZCVJj3z9xSR75TpoNAVj-3IXIpX2QYBK1EN0p8._0t2HdEDUYZ9uNBd7b0hZxSbxaZ8izII8GEdpw_mijw%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082050%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-11-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DDsoXANtEhn%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=DsoXANtEhn&sp_cr=ZAZ,3.2,6,61999,28,0,IdeaPad Slim 3,Luna Grey {Core-5-16GB Ram},Thin & Light,15.3,1920 x 1200 pixels,1920 x 1200,1 D batteries required. (included),15IRH10R,Intel,Intel Core 5,2.2,8.0,DDR5,DDR5 RAM,24 GB,512 GB,SSD,"User-facing stereo speakers, 2W x2, optimized with Dolby Audio",Integrated Intel Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,50 Watt Hours,4.0,Laptop,1 kg 590 g,High,2.2
9,Lenovo|IdeaPad|15IAH8|Core i5 Family||512 GB|SSD39.6 Centimetres,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTA3NDE2OTc1OTAwOTgzOjE3NjgwODIwNTA6c3BfbXRmOjMwMDQ3MjU0MDU5NzUzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Windows-83ER00KPIN%2Fdp%2FB0DR96PF63%2Fref%3Dsr_1_12_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9.w_frBbwHmYyVG7A2pLpPy1FBo5L0lz2kfBACozkuTBHo8KubMllsBOwBZyWaYb2DvcnauK0pRLmyniIZxkawBLT_snJ0CQLgpoBzHOwi1svQwwEktHj0okI-FQw5rCy_k6zYFJSXqd5QMTbFvPW0C1QnkI9rrOsjY4dzUJMdo9iGaLz1X9URp-x_Yu_OXYTfxjRoHZCVJj3z9xSR75TpoNAVj-3IXIpX2QYBK1EN0p8._0t2HdEDUYZ9uNBd7b0hZxSbxaZ8izII8GEdpw_mijw%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082050%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-12-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DiejkyDeOsy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=iejkyDeOsy&sp_cr=ZAZ,3.9,320,50850,30,100,IdeaPad,"i5-12th Gen | 15.6""",Ultra-Portable,39.6 Centimetres,1920 x 1080 pixels,1920 x 1080,1 D batteries required. (included),15IAH8,Intel,Core i5 Family,2,5.0,Lpddr 5,DDR5 RAM,16 GB,512 GB,SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,"802.11ax, Bluetooth",1.0,No Optical Drive,Windows 11,Yes,47 Watt Hours,4.0,Laptop,1 kg 370 g,Medium,2.0
